#,Effect Name,Effect Description,Rarity,Category,Scope,Duration,Cycle,Player
375,Baa-ad Moon Rising,"Create a double-sided Sheep creature token: Front: Sheep, Creature - Innocent Fluff, 0/3, Delicious, When Sheep becomes blocked, flip it. Back: Black Sheep, Creature - Nightmare Fluff, 4/3, Double strike, Provoke, If a creature dealt damage by Black Sheep goes to the graveyard this turn, put a Satiate counter on Black Sheep. Then if there are two or more Satiate counters on Black Sheep, remove all Satiate counters and flip it.",2 - Uncommon,Token,Player,Instant,,Duel
376,Doubling Round,"Until the start of your next turn, if an effect would create one or more tokens under your control, it creates twice that many of those tokens instead and if an effect would place one or more counters on a permanent you control, it places twice that many of those counters on that permanent instead.",2 - Uncommon,Meta,Player,Round,,Duel
379,Oprah Tutor,"Choose a card type. Each player may search their library for a card of the chosen type, reveal it, put it in their hand, then shuffle their library.",2 - Uncommon,Tutor,All,Instant,,Duel
381,Vacation,Target player skips his or her next combat phase.,2 - Uncommon,Meta,Player,Instant,,Duel
382,Janitorial Services,Target player skips his or her next upkeep phase.,2 - Uncommon,Meta,Player,Instant,,Duel
388,Halloween,"If it is October, all monsters (werewolves, vampires, skeletons, etc.) gain +3/+3 and menace until end of turn.",2 - Uncommon,Buff,All,Turn,,Duel
389,Low Planar Orbit,Target creature cannot be blocked except by creatures with both flying and reach until end of turn.,2 - Uncommon,Buff,Player,Turn,,Duel
390,Lil' Sebastian,Target creature gains horsemanship until end of turn.,2 - Uncommon,Buff,Player,Turn,,Duel
391,Magnetic Repulsion,"Until the start of your next turn, all artifacts gain flying.",2 - Uncommon,Buff,All,Round,,Duel
392,Portrait Layout,Tap everything.,2 - Uncommon,Wacky,All,Instant,,Duel
394,Tasty Draught,"Create a colourless Bacon-Infused Courage artifact token with ""Sacrifice Bacon-Infused Courage: Target creature gains +1/+1, delicious, and indestructible until end of turn."" (Delicious creatures must be blocked if able.)",2 - Uncommon,Token,Player,Instant,,Duel
395,Stop Worrying and Love the Bomb,"You get a Doomsday Weapon emblem with ""Sacrifice Doomsday Weapon, pay 6 life: Destroy all creatures, artifacts, and lands. All other players lose 4 life.""",2 - Uncommon,Token,Player,Instant,,Duel
396,Land Rush,"Reveal the top ten cards of your library. Put any lands revealed onto the battlefield, tapped. Put the remaining cards on the bottom of your library in a random order.",2 - Uncommon,Cards,Player,Instant,,Duel
397,Heavy Fortifications,"You and target opponent each create a colourless 0/10 Planetary Defense System token artifact creature with defender, reach, and ""Planetary Defense System can block any number of creatures.""",2 - Uncommon,Token,"Player, Opponent",Instant,,Multi
398,Diluvian Recursion,"For each opponent, you may cast up to one target instant or sorcery card from that player's graveyard without paying its mana cost. If a card cast this way would be put into a graveyard this turn, exile it instead.",2 - Uncommon,Cards,All,Instant,,Duel
002,CJ Freeze,"Until the start of your next turn, each opponent may only untap one land during their untap phase.",2 - Uncommon,Cards,All,Round,Scappoose,Duel
004,David's Celerity,"Until the start of your next turn, the casting cost of all spells is reduced by (1).",2 - Uncommon,Cards,All,Round,Scappoose,Duel
005,Mirage Redux,"Target opponent, their hand, library, graveyard, and all permanents they control phase out.",2 - Uncommon,Wacky,Opponent,Instant,Basics,Multi
007,Spy Games,Choose an unchosen opponent. Look at the top three cards of their library and put them back in any order. That opponent may copy this effect and choose a new unchosen player.,2 - Uncommon,Wacky,Opponent,Instant,Bond,Duel
011,Ma'ruf's Circlet,All players may choose a card they own from outside of the game and put it into their hand.,2 - Uncommon,Cards,All,Instant,Shop'n'Swap,Duel
012,Dead Man's Party,Creatures you control lose their abilities and become 2/2 black Zombies until end of turn.,2 - Uncommon,Cards,Player,Turn,Dammit Joe,Duel
015,Beach Party,Creatures you control gain islandwalk until end of turn.,2 - Uncommon,Buff,Player,Turn,Basics,Duel
017,Tent Revival,Creatures you control gain indestructible until end of turn.,2 - Uncommon,Buff,Player,Turn,Basics,Duel
018,Climbing Trek,Creatures you control gain mountainwalk until end of turn.,2 - Uncommon,Buff,Player,Turn,Basics,Duel
019,Peat Harvesting,Creatures you control gain swampwalk until end of turn.,2 - Uncommon,Buff,Player,Turn,Basics,Duel
020,Camping Trip,Creatures you control gain forestwalk until end of turn.,2 - Uncommon,Buff,Player,Turn,Basics,Duel
021,Road Trip,Creatures you control gain plainswalk until end of turn.,2 - Uncommon,Buff,Player,Turn,Basics,Duel
022,Riot,Creatures you control gain melee until end of turn.,2 - Uncommon,Buff,Player,Turn,Basics,Multi
024,PCP in the water supply,Creatures you control gain double strike until end of turn.,2 - Uncommon,Buff,Player,Turn,Basics,Duel
027,Poisoned Blades,Creatures you control gain deathtouch until end of turn.,2 - Uncommon,Buff,Player,Turn,Basics,Duel
030,Overrun,Creatures you control gain +3/+3 and trample until end of turn.,2 - Uncommon,Buff,Player,Turn,Basics,Duel
034,Pyroclasm Cubed,All creatures take 8 damage.,2 - Uncommon,Damage,All,Instant,Basics,Duel
036,River of Life,Gain 1d20 life.,2 - Uncommon,Life,Player,Instant,Basics,Duel
037,Ocean of Life,Gain 2d10 life. All opponents gain 1d10 life (roll separately).,2 - Uncommon,Life,All,Instant,Basics,Duel
044,Surprise!,"Search your library for up to 3 creatures and put them into play, untapped, then shuffle your library. They gain haste.",2 - Uncommon,Cards,Player,Instant,Spanish Inquisition,Duel
047,An almost fanatical devotion to the Pope!,Create 1d6 1/1 white Spirit creature tokens with flying.,2 - Uncommon,Token,Player,Instant,Spanish Inquisition,Duel
048,Nice red uniforms!,Create 1d3 4/4 red Dragon creature tokens with flying.,2 - Uncommon,Token,Player,Instant,Spanish Inquisition,Duel
050,Mini-Disk,"Each player sacrifices one land, creature, or artifact.",2 - Uncommon,Destruction,All,Instant,Basics,Duel
052,Phyrexian Suitcase,"You may pay X life to put a token copy of any card you own from ouside the game into play, where X is half (rounded up) of that card's converted mana cost.",2 - Uncommon,Cards,Player,Instant,Phyrexia,Duel
053,Cloak of Eyes,Scry 10.,2 - Uncommon,Cards,Player,Instant,Basics,Duel
055,Redshirt Brigade,Create 2d4+1 0/1 red/white Starfleet Ensign creature tokens with defender and reach.,2 - Uncommon,Token,Player,Instant,Brigades,Duel
056,Squirrel Brigade,Create X 1/1 green Squirrel creature tokens. X is the number of lands on the battlefield.,2 - Uncommon,Token,Player,Instant,Brigades,Duel
057,Skeleton Brigade,Create X 1/1 black Skeleton creature tokens. X is the number of creatures in all graveyards.,2 - Uncommon,Token,Player,Instant,Brigades,Duel
059,Tradewinds,"You may exchange control of up to one each of a creature, artifact, enchantment, and land for control of a card of the same type that an opponent controls.",2 - Uncommon,Meta,"Player, Opponent",Instant,Shop'n'Swap,Duel
063,Bite of the Black Rose,Players Vote: Sickness or Psychosis. Sickness: creatures your opponents control get -2/-2 until end of turn. Psychosis/tie: each opponent discards two cards.,2 - Uncommon,Vote,All,Instant,Democracy,Multi
064,Coercive Portal,Players Vote: Carnage or Homage. Carnage: destroy all nonland permanents. Homage/tie: draw three cards.,2 - Uncommon,Vote,All,Instant,Democracy,Multi
065,Council's Judgement,Players Vote: Each player votes for a nonland permanent you don't control. Exile each permanent with the most votes or tied for most votes.,2 - Uncommon,Vote,All,Instant,Democracy,Multi
066,Custodi Squire,"Players Vote: Each player votes for an artifact, creature, or enchantment card in your graveyard. Return each card with the most votes or tied for most votes to your hand.",2 - Uncommon,Vote,All,Instant,Democracy,Multi
067,Magister of Worth,Players Vote: Grace or Condemnation. Grace: each player returns each creature from their graveyard to the battlefield. Condemnation/tie: destroy all creatures.,2 - Uncommon,Vote,All,Instant,Democracy,Multi
068,Plea for Power,Players Vote: Time or Knowledge. Time: you take an extra turn after this one. Knowledge/tie: draw six cards.,2 - Uncommon,Vote,All,Instant,Democracy,Multi
069,Tyrant's Choice,Players Vote: Death or Torture. Death: each opponent sacrifices a creature. Torture/tie: each opponent loses 4 life.,2 - Uncommon,Vote,All,Instant,Democracy,Multi
070,Lietenant of the Guard,Players Vote: Strength or Numbers. Put a +1/+1 counter on a creature you control for each Strength vote. Create a 1/1 white Soldier token creature for each Numbers vote.,2 - Uncommon,Vote,All,Instant,Democracy,Multi
089,Rainbow Vale,"Until the end of your turn, your lands produce any colour of mana when tapped.",2 - Uncommon,Cards,Player,Turn,Basics,Duel
091,Enhanced Mitosis,Choose a target nontoken creature. Put two token copies of that creature into play under your control.,2 - Uncommon,Token,Player,Instant,Science,Duel
092,Reverse,Reverse the direction of play.,2 - Uncommon,Meta,All,Ongoing,Uno,Multi
093,Skip,Skip the next player's turn.,2 - Uncommon,Meta,Opponent,Instant,Uno,Multi
096,Uno,All players discard down to one card.,2 - Uncommon,Cards,All,Instant,Uno,Duel
097,Feldon,Shuffle your graveyard into your library.,2 - Uncommon,Cards,Player,Instant,Basics,Duel
100,Call of the Reaper,"All players lose half their current life, rounded down.",2 - Uncommon,Damage,All,Instant,Basics,Duel
102,Mulligan,All players discard their hands and draw seven cards.,2 - Uncommon,Cards,All,Instant,Basics,Duel
103,Forced Topdecking,Target player discards their hand.,2 - Uncommon,Cards,Target Player,Instant,Basics,Duel
105,Swapped at Birth,Put a Fae counter on each of up to five target creatures. Creatures with Fae counters have changeling.,2 - Uncommon,Buff,Player,Ongoing,References,Duel
106,Tribal Nuke,Choose a creature type. Destroy all creatures of the chosen type.,2 - Uncommon,Destruction,All,Instant,Nukes,Duel
110,Alphabet Nuke,Choose a letter. Destroy all nonland permanents with a name beginning with that letter.,2 - Uncommon,Destruction,All,Instant,Nukes,Duel
111,Mana Nuke,Pick a number. Destroy all nonland permanents with a converted mana cost equal to that number.,2 - Uncommon,Destruction,All,Instant,Nukes,Duel
113,Green Buff,All green creatures gain +2/+1 and trample until end of turn.,2 - Uncommon,Buff,All,Instant,Buffs,Duel
114,Red Buff,All red creatures gain +1/+1 and double strike until end of turn.,2 - Uncommon,Buff,All,Instant,Buffs,Duel
115,White Buff,All white creatures gain +1/+2 and vigilance until end of turn.,2 - Uncommon,Buff,All,Instant,Buffs,Duel
116,Blue Buff,All blue creatures gain +1/+1 and flying until end of turn.,2 - Uncommon,Buff,All,Instant,Buffs,Duel
117,Black Buff,All black creatures gain +1/+1 and lifelink until end of turn.,2 - Uncommon,Buff,All,Instant,Buffs,Duel
121,Black Vase,"Each player loses 1 life for each cup, glass, or other liquid container on the table.",2 - Uncommon,Damage,All,Instant,Puns,Duel
122,Nordstrom's Rack,Each player loses 1 life for each item of clothing they are wearing.,2 - Uncommon,Damage,All,Instant,Puns,Duel
124,Green Djinn,Flip a coin. Heads: Create two 3/3 green Elephant creature tokens. Tails: Lose 3 life.,2 - Uncommon,Token,Player,Instant,Djinns,Duel
125,Red Djinn,"Flip a coin. Heads: Deal 3 damage to each of two target creatures, planeswalkers, or players. Tails: Lose 3 life.",2 - Uncommon,Damage,Player,Instant,Djinns,Duel
126,White Djinn,Flip a coin. Heads: Choose up to three target creatures you control. Put two +1/+1 counters on each of those creatures. Tails: Lose 3 life.,2 - Uncommon,Buff,Player,Instant,Djinns,Duel
127,Blue Djinn,Flip a coin. Heads: Return two target permanents you control and three target permanents you don't control to their owners' hands. Tails: Lose 3 life.,2 - Uncommon,Cards,Player,Instant,Djinns,Duel
128,Black Djinn,Flip a coin. Heads: Choose up to three target creatures you don't control. Put two -1/-1 counters on each of those creatures. Tails: Lose 3 life.,2 - Uncommon,Buff,Player,Instant,Djinns,Duel
129,Dingus Round,"Until the start of your next turn, any time a land is destroyed, its controller loses 2 life.",2 - Uncommon,Damage,All,Round,Rounders,Duel
131,Barbs Round,"Until the start of your next turn, any time a player taps a land for mana, they lose one life.",2 - Uncommon,Damage,All,Round,Rounders,Duel
132,Telepathy Round,"Until the start of your next turn, all players play with their hands and the top card of their library revealed.",2 - Uncommon,Meta,All,Round,Rounders,Duel
133,Flare Round,"Until the start of your next turn, any time a player taps a land for mana, that player adds one mana to his or her mana pool of any type that land produced ",2 - Uncommon,Cards,All,Round,Rounders,Duel
136,Zerg Rush,Each player creates 2d6 (rolled separately) 1/1 colourless Zergling creature tokens with haste.,2 - Uncommon,Token,All,Instant,References,Duel
137,Switzerland,"If no sources you control deal damage this turn, until the start of your next turn you cannot be the target of attacks and all damage that would be dealt to you is reduced to 0.",2 - Uncommon,Wacky,Player,Round,Armour,Duel
138,Micro-Scheherazade,"Play a best of three Rock-Paper-Scissors match against target opponent. Loser loses half their current life (rounded down). Tie break coin flip (Heads: you win, Tails: opponent wins).",2 - Uncommon,Meta,"Player, Opponent",Instant,References,Duel
140,So Done With This,Players Vote: Whatever or Persist. Whatever: You win the game. Persist/tie: The game continues. Players who voted Persist lose 2 life.,2 - Uncommon,Vote,All,Instant,Democracy,Multi
145,OG Tutor,"You may search your library for a card and put it in your hand. If you do, shuffle your library.",2 - Uncommon,Tutor,Player,Instant,Tudors,Duel
146,Fancy Tutor,"You may search your library for a foil card, reveal it, and put it in your hand. If you do, shuffle your library.",2 - Uncommon,Tutor,Player,Instant,Tudors,Duel
149,Phyrexian Braingeyser,"You may pay X life. If you do, draw X+1 cards.",2 - Uncommon,Cards,Player,Instant,Phyrexia,Duel
153,Thopter Brigade,Create 1d10 0/1 colourless Thopter artifact creature tokens with flying.,2 - Uncommon,Token,Player,Instant,Brigades,Duel
154,Scryb Brigade,Create 1d4 1/1 green Sprite fae creature tokens with flying.,2 - Uncommon,Token,Player,Instant,Brigades,Duel
167,Robot Squires,Create X 0/1 colourless Robobutler artifact creature tokens with defender. X is equal to the number of nontoken creatures you control. Target opponent may create Y 0/1 colourless Robobutler artifact creature tokens with defender. Y is equal to the number of nontoken creatures they control.,2 - Uncommon,Token,"Player, Opponent",Instant,Armour,Duel
168,Antici...,Draw five cards. You cannot cast spells this turn. Skip your discard phase.,2 - Uncommon,Meta,Player,Turn,Rocky Horror,Duel
169,...pation,You can cast up to four spells this turn without paying their mana cost.,2 - Uncommon,Cards,Player,Turn,Rocky Horror,Duel
170,Mist Round,"Until the start of your next turn, all combat damage dealt to creatures is reduced to 0.",2 - Uncommon,Buff,All,Round,Rounders,Duel
171,Furnace Round,"Until the start of your next turn, all damage dealt by sorceries and instants is doubled.",2 - Uncommon,Damage,All,Round,Rounders,Duel
176,"O, Canada!",Put a Maple counter on each of up to five target basic lands. Lands with Maple counters are snow lands.,2 - Uncommon,Cards,All,Ongoing,Canada,Duel
177,Battle Moose,Target creature gains snow landwalk.,2 - Uncommon,Buff,Player,Ongoing,Canada,Duel
178,Canadian Round,"Until the start of your next turn, whenever a source deals damage to a target, that source's controller may apologize to the target. If they do not, the damage is reduced to 0.",2 - Uncommon,Wacky,All,Round,Canada,Duel
182,Phyrexian Syrup,Put a Maple counter on each of up to two target creatures. Proliferate. Creatures with Maple counters are delicious (Delicious creatures must be blocked if able).,2 - Uncommon,Buff,Player,Ongoing,Canada,Duel
186,Alphabet Shield,Choose a letter. Target creature gains protection from cards beginning with that letter.,2 - Uncommon,Buff,Player,Instant,Armour,Duel
187,Bouncy House,"Roll 1d6: [1=White, 2=Blue, 3=Red, 4=Black, 5=Green] Return all permanents of the rolled colour to their owner's hands. On a 6, return all colourless nonland permanents to their owner's hands.",2 - Uncommon,Cards,All,Instant,Dammit Joe,Duel
193,Gravity Round,"Until the start of your next turn, all creatures with flying lose flying.",2 - Uncommon,Buff,All,Round,Rounders,Duel
195,Wild Flailing,"Choose a creature an opponent controls. That creature deals X damage to Y target creatures. X is equal to that creature's power, Y is equal to that creature's toughness.",2 - Uncommon,Damage,Player,Instant,Dammit Joe,Duel
205,Price of Immortality,"You get an Immortal emblem with ""Immortal enters the battlefield with 1d3 Time counters on it.You cannot be the target of attacks. You and creatures you control gain hexproof. During your upkeep, each opponent gains life equal to twice the Time counters on Immortal and for each opponent you lose life equal to the number of Time counters on Immortal. At the beginning of your end step, remove a Time counter from Immortal. If there are no Time counters on Immortal, sacrifice it.""",3 - Rare,Token,All,Instant,Antiquity,Multi
207,Freebie*,"Reveal the top card of your library. If it is a permanent, you may put it into play or back on top of your library. Otherwise, lose 1 life and put it in your hand. Repeat this until a permanent is revealed.",3 - Rare,Cards,Player,Instant,Antiquity,Duel
209,Sniper Training,"Put X Caliber counters on target creature, X is equal to the creature's power. Creature's base Power becomes 0 and it gains defender and ""T: Deal X damage to target attacking creature, where X is the number of Caliber counters on this creature.""",3 - Rare,Buff,Creature,Ongoing,Antiquity,Duel
217,RoboRosewater,Put a proxy of the day's card into your hand.,3 - Rare,Cards,Player,Ongoing,Twitter,Duel
218,A-10-uation,"You get a Tenner emblem with ""Sacrifice Tenner: Add or subtract 10 from the value of X in any X effect.""",3 - Rare,Token,Player,Instant,Puns,Duel
220,Spare Batteries,"Create three colourless Duracell artifact tokens with ""Sacrifice Duracell: You get three energy counters.""",3 - Rare,Token,Player,Instant,Kaladesh,Duel
224,Energizing Conversion,"Until the end of your turn, you may spend one energy counter to put a +1/+1 counter on a creature you control.",3 - Rare,Buff,Player,Turn,Kaladesh,Duel
230,OVER 9000!,"Until the start of your next turn, all creatures gain +9/+9, vigilance, and ""If damage would reduce this creature's toughness to 0, it reduces it to 1 instead."".",3 - Rare,Buff,All,Round,,Duel
234,Seraph,"Until the end of your turn, any time a source you control deals damage to a creature, if that creature would go into a graveyard, return it to the battlefield under your control.",3 - Rare,Cards,Player,Turn,,Duel
238,Renewal Round,"Until the start of your next turn, any time a card would go into any graveyard from play, place it at the bottom of its owner's library. At the start of your next turn, all players shuffle their libraries.",3 - Rare,Cards,All,Round,,Duel
240,Isolation Chambers,"Until the start of your next turn, players can only play spells or activate abilities during their turn.",3 - Rare,Meta,All,Round,,Duel
244,Goblin Gambit,"Each player chooses a card in their hand. Simultaneously reveal chosen cards. The creature, enchantment, and artifact with the lowest CMC are put onto the battlefield under their owner's control. Each player who put a card into play loses life equal to that card's CMC. ",3 - Rare,Wacky,All,Instant,,Multi
247,I'm a Lich Now,"You get a Phylactery emblem with ""If your life total would be reduced to 0, sacrifice Phylactery: your life total becomes 10, choose 1 creature and 1 land, sacrifice all other permanents you control, discard your hand, shuffle your graveyard into your library, draw 7 cards.""",3 - Rare,Token,Player,Instant,,Duel
248,"Gonti, Why?!","Look at the top four cards of target opponent's library, exile one of them face down, then place the rest on the bottom of their library in a random order. For as long as that card remains exiled, you may look at it, you may cast it, and you may spend mana as though it were mana of any type to cast it.",3 - Rare,Cards,"Player, Opponent",Ongoing,,Duel
250,Antagonist's Choice,Reveal the top five cards of your library. Target opponent separates those cards into two face-up piles. Put one pile into your hand and the other into your graveyard.,3 - Rare,Cards,"Player, Opponent",Instant,,Duel
254,Take This,"Create a colourless Master Sword artifact equipment token with ""Equip (2)."" and ""Equipped creature gains +3/+2 and menace.""",3 - Rare,Token,Player,Instant,Reference,Duel
256,Pern,Create a 3/3 red Dragonrider creature token with flying and first strike. Target opponent creates 1d3 1/1 black Thread creature tokens with flying and deathtouch.,3 - Rare,Token,"Player, Opponent",Instant,Reference,Duel
268,Creature Replication,Each player creates a token copy of each non-legendary creature they control.,3 - Rare,Token,All,Instant,,Duel
269,Creature Mirror,"Choose an unchosen opponent. Create a token copy of each non-legendary, nontoken creature that opponent controls. That opponent may copy this effect and choose a new unchosen player.",3 - Rare,Token,All,Instant,,Duel
270,Aston-Martin,"Create a 4/3 colourless DB-7 artifact vehicle token with haste, first strike, and ""Crew 1"".",3 - Rare,Token,Player,Instant,Bond,Duel
275,Hand Transplant,Trade hands with target opponent.,3 - Rare,Meta,"Player, Opponent",Instant,,Duel
276,Foreign Exchange Program,Exile all creatures you control. Gain control of all creatures target opponent controls. Return all exiled creatures to the battlefield under their control.,3 - Rare,Cards,"Player, Opponent",Instant,,Duel
285,Playing Politics,"Exile up to two creatures, two artifacts, and two lands controlled by opponents. Return each exiled card to the battlefield under an opponent's control.",3 - Rare,Cards,All,Instant,,Multi
287,Joseph Heller,Target player becomes Major Major Major Major and must be referred to by that full name and saluted whenever addressed directly until the end of the game. Any player who does not use the full name or salute when appropriate must put the top card of their library into their graveyard.,3 - Rare,Wacky,All,Ongoing,,Duel
288,Brrrrt,"Create a 4/6 colourless A-10 Warthog artifact vehicle token with flying, vigilance, 30 mm GAU-8 Avenger rotary cannon, depleted uranium rounds, titanium armour plating and ""Crew 2"". Create a 2/1 white Captain Kim Campbell creature token with ""Whenever Captain Kim Campbell crews a Vehicle, it gains indestructible until end of turn."".",3 - Rare,Token,Player,Instant,,Duel
291,Mox Lotus,Add infinite colourless mana to your mana pool at the start of your first main phase.,3 - Rare,Wacky,Player,Turn,,Duel
293,What Happened to the Moon?,"Exile target nontoken creature you own. Return exiled creature to play at the beginning of your upkeep on your turn X of the next game you play with the same opponent, where X is the removed creature's converted mana cost.",3 - Rare,Meta,Player,Instant,,Duel
308,Royal Protector,"You become the monarch. Target creature gains ""All damage that would be dealt to you is dealt to this creature instead.""",3 - Rare,Buff,Player,Ongoing,,Duel
318,Circle of Protection: Chaos,"Until the start of your next turn, any player may pay 2 life at the start of each Chaos Phase. If they do, they gain protection from chaos until end of turn.",3 - Rare,Meta,All,Round,,Duel
319,"Terrible, Horrible, No Good, Very Bad Day",Random player's life total becomes 1.,3 - Rare,Life,Player,Instant,,Duel
321,Chaos Sleight,"Roll 1d6: [1=White, 2=Blue, 3=Red, 4=Black, 5=Green, 6=Generic] Replace all mana symbols on one card with the rolled selection. Keep the CMC of abilities the same.",3 - Rare,Wacky,Player,Ongoing,,Duel
322,Chaos Hack,"Roll 1d6: [1=Plains, 2=Island, 3=Mountain, 4=Swamp, 5=Forest, 6=Non-basic] Replace all land references on one card with the rolled selection.",3 - Rare,Wacky,Player,Ongoing,,Duel
324,Abundance,"Until the end of your turn, if you would draw a card, you may instead choose land or nonland and reveal cards from the top of your library until you reveal a card of the chosen kind. Put that card into your hand and put all other cards revealed this way on the bottom of your library in any order.",3 - Rare,Cards,Player,Turn,,Duel
347,Some Call Me... Tim?,"Create a Tim, Ascendant planeswalker token.",3 - Rare,Token,Player,Instant,,Duel
349,Struggle for Dominance,Arm wrestle target opponent (opponent picks left or right arm). Winner gains control of up to one of loser's creatures and draws a card. Loser discards a card.,3 - Rare,Wacky,"Player, Opponent",Instant,,Duel
350,Lord of Chaos,Create a Lord of Chaos planeswalker token.,3 - Rare,Token,Player,Instant,,Duel
352,That's A Lotta Nuts!,"You get a Bag of Nuts emblem with ""At the beginning of your upkeep, create a 1/1 green Squirrel token creature.""",3 - Rare,Token,Player,Instant,,Duel
355,Check the Errata,"Target creature gains first strike. If it has first strike it gains lifelink and trample. If it has lifelink it gains flying. If it has trample it gains deathtouch. If it has these five abilities, put five +1/+1 counters on it.",3 - Rare,Buff,Creature,Ongoing,,Duel
356,Nerf Bat,"Choose an ability keyword. Until the start of your next turn, all creatures in play and any creatures that enter the battlefield lose chosen ability.",3 - Rare,Cards,All,Turn,,Duel
361,Sen Quadruplets,"Until the end of your turn, gain control of target permanent target opponent controls. That opponent can't play spells or activated abilities and plays with their hand revealed this turn. You may play cards from that player's hand this turn and may spend mana as though it were mana of any type to do so.",3 - Rare,Cards,"Player, Opponent",Turn,,Multi
377,Time Sprain,"Until the start of your next turn, each opponent takes an extra turn after their regular turn.",3 - Rare,Meta,Opponent,Round,,Duel
378,Mirage Reflection,"You, your hand, library, graveyard, and all permanents you control phase out.",3 - Rare,Meta,Player,Instant,,Duel
399,Ultra Recursion,"Until the end of your turn, you may cast cards from your graveyard.",3 - Rare,Cards,Player,Turn,,Duel
400,Partial Control,"You get a Chaos Influencer emblem with ""Sacrifice Chaos Influencer: Choose a value for the hundreds, tens, or ones digit of the next chaos roll.""",3 - Rare,Token,Player,Instant,,Duel
008,David's Armies,"Until the start of your next turn, all players may cast basic lands as if they were creatures with the following properties: [Casting Cost (2), Haste, 2/2] Lands cast in this way do not count toward the one-land-per-turn limit. At the start of your next turn, all lands cast in this way revert to basic lands.",3 - Rare,Cards,All,Round,Scappoose,Duel
010,Día de los Muertos,"All players may put any number of planeswalkers, creatures, enchantments, artifacts, and lands from their graveyard into play.",3 - Rare,Cards,All,Instant,Shop'n'Swap,Duel
038,Musical Chairs,"Coin flip direction (Heads:Left, Tails:Right). Players (and any player-attached auras, counters, life totals, etc.) rotate in that direction. All cards in other zones remain where they started.",3 - Rare,Wacky,All,Instant,Dammit Joe,Duel
039,Musical Hands,"Coin flip direction (Heads:Left, Tails:Right). Each player's hand is passed to the player in that direction.",3 - Rare,Wacky,All,Instant,Dammit Joe,Multi
040,Musical Libraries,"Coin flip direction (Heads:Left, Tails:Right). Each player's library is passed to the player in that direction.",3 - Rare,Wacky,All,Instant,Dammit Joe,Duel
041,Musical Life,"Coin flip direction (Heads:Left, Tails:Right). Each player's life total is transferred to the player in that direction.",3 - Rare,Wacky,All,Instant,Dammit Joe,Multi
042,Musical Creatures,"Coin flip direction (Heads:Left, Tails:Right). All creatures each player controls are passed to the player in that direction. They remain tapped or untapped.",3 - Rare,Wacky,All,Instant,Dammit Joe,Multi
043,Musical Lands,"Coin flip direction (Heads:Left, Tails:Right). All lands each player controls are passed to the player in that direction. They remain tapped or untapped.",3 - Rare,Wacky,All,Instant,Dammit Joe,Duel
046,Ruthless Efficiency!,"Until the end of your turn, you may cast instant and sorcery spells without paying their casting costs. (X) costs must still be paid. Mana spent for an (X) cost counts as 2 points for purposes of X effects.",3 - Rare,Cards,Player,Turn,Spanish Inquisition,Duel
054,Time Walk,Take an extra turn after this one.,3 - Rare,Meta,Player,Turn,Basics,Duel
058,Someone Didn't Balance This One,"Gain 20 life. Each opponent loses 5 life. Each opponent sacrifices a creature, artifact, and land. Create 1d3 6/6 colourless Goliath creature tokens with trample and reach. You become the monarch.",3 - Rare,Wacky,All,Instant,Dammit Joe,Multi
061,Invert Energy,"Until the start of your next turn, effects that would cause you to gain life cause life loss instead, and effects that would deal damage or cause you to lose life cause you to gain life instead.",3 - Rare,Wacky,Player,Round,Shop'n'Swap,Duel
062,Azathoth Awakens,"The game ends. Azathoth wins and consumes the universe. Reality ceases. Congratulations, look what you've done.",3 - Rare,Terrible,All,Instant,Dammit Joe,Duel
071,Selvala's Stampede,"Players Vote: Wild or Free. Reveal cards from the top of your library until you reveal a creature card for each Wild vote. Put those creatures onto the battlefield, then shuffle the rest into the library. You may put a permanent from your hand onto the battlefield for each Free vote.",3 - Rare,Vote,All,Instant,Democracy,Multi
072,Ill-Executed Socialism,"Exile all Auras. Shuffle all creatures in play into one pile. Starting with yourself, deal creatures to all players one at a time in direction of play. Repeat with planeswalkers, artifacts, enchantments, lands, and cards in hands.",3 - Rare,Meta,All,Instant,Dammit Joe,Duel
073,Ill-Executed Communism,"Each player chooses a number of lands they control equal to the number of lands controlled by the player who controls the fewest, then sacrifices the rest. Players sacrifice planeswalkers, creatures, artifacts, enchantments, and discard cards the same way.",3 - Rare,Meta,All,Instant,Dammit Joe,Duel
098,Feldon Mania,All players shuffle their graveyards into their libraries.,3 - Rare,Cards,All,Instant,Basics,Duel
101,Bargain Shopping,"Until the end of your turn, ignore the generic mana cost of any spells. Only pay the coloured mana cost.",3 - Rare,Meta,Player,Turn,Shop'n'Swap,Duel
104,Nuclear Launch Detected,"Roll 1d6: [1=White, 2=Blue, 3=Red, 4=Black, 5=Green] Destroy all permanents of the rolled colour. On a 6, name a colour, then destroy all permanents of the named colour.",3 - Rare,Destruction,All,Instant,Nukes,Duel
109,EMP,Destroy all artifacts.,3 - Rare,Destruction,All,Instant,Nukes,Duel
118,Get Buff,Players Vote: Pushups or Situps. Pushups: All players do as many pushups as they can in 30 seconds. Situps/tie: All players do as many situps as they can in 30 seconds. Each player gains 5 life for each exercise they did.,3 - Rare,Wacky,All,Instant,Buffs,Duel
